timestamp,energy_pv,power_consumed_kwh,energy_hotwater
2017-06-04 04:45:00,-0.0,28.0,1.0
2017-06-04 05:00:00,-0.0,46.0,1.0
2017-06-04 05:15:00,-0.0,36.0,1.0
2017-06-04 05:30:00,-0.0,178.0,1.0
2017-06-04 05:45:00,-0.0,44.0,1.0
2017-06-04 06:00:00,-0.0,57.0,1.0
2017-06-04 06:15:00,-0.0,52.0,1.0
2017-06-04 06:30:00,-0.0,39.0,1.0
2017-06-04 06:45:00,-0.0,27.0,1.0
2017-06-04 07:00:00,-0.0,105.0,1.0
2017-06-04 07:15:00,-0.0,56.0,1.0
2017-06-04 07:30:00,3.0,244.0,1.0
2017-06-04 07:45:00,11.0,523.0,1.0
2017-06-04 08:00:00,22.0,630.0,1.0
2017-06-04 08:15:00,33.0,305.0,1.0
2017-06-04 08:30:00,56.0,117.0,1.0
2017-06-04 08:45:00,51.0,127.0,1.0
2017-06-04 09:00:00,202.0,244.0,1.0
2017-06-04 09:15:00,249.0,410.0,1.0
2017-06-04 09:30:00,275.0,236.0,1.0
2017-06-04 09:45:00,221.0,146.0,1.0
2017-06-04 10:00:00,172.0,76.0,1.0
2017-06-04 10:15:00,29.0,498.0,188.0
2017-06-04 10:30:00,22.0,1183.0,922.0
2017-06-04 10:45:00,22.0,977.0,891.0
2017-06-04 11:00:00,22.0,85.0,1.0
2017-06-04 11:15:00,23.0,68.0,1.0
2017-06-04 11:30:00,26.0,32.0,1.0
2017-06-04 11:45:00,31.0,36.0,1.0
2017-06-04 12:00:00,45.0,36.0,1.0
2017-06-04 12:15:00,65.0,43.0,1.0
2017-06-04 12:30:00,68.0,22.0,1.0
2017-06-04 12:45:00,70.0,28.0,1.0
2017-06-04 13:00:00,51.0,59.0,1.0
2017-06-04 13:15:00,199.0,27.0,1.0
2017-06-04 13:30:00,274.0,22.0,1.0
2017-06-04 13:45:00,278.0,67.0,1.0
2017-06-04 14:00:00,101.0,191.0,1.0
2017-06-04 14:15:00,40.0,181.0,1.0
2017-06-04 14:30:00,18.0,82.0,1.0
2017-06-04 14:45:00,19.0,83.0,1.0
2017-06-04 15:00:00,26.0,73.0,1.0
2017-06-04 15:15:00,28.0,67.0,1.0
2017-06-04 15:30:00,66.0,98.0,1.0
2017-06-04 15:45:00,59.0,29.0,1.0
2017-06-04 16:00:00,34.0,64.0,1.0
2017-06-04 16:15:00,12.0,159.0,1.0
2017-06-04 16:30:00,4.0,99.0,1.0
2017-06-04 16:45:00,-1.0,96.0,1.0
2017-06-04 17:00:00,-0.0,96.0,1.0
2017-06-04 17:15:00,-0.0,135.0,1.0
2017-06-04 17:30:00,-0.0,151.0,1.0
2017-06-04 17:45:00,-0.0,660.0,1.0
2017-06-04 18:00:00,0.0,827.0,1.0
2017-06-04 18:15:00,-0.0,338.0,1.0
2017-06-04 18:30:00,0.0,634.0,1.0
2017-06-04 18:45:00,0.0,540.0,1.0
2017-06-04 19:00:00,-0.0,125.0,1.0
2017-06-04 19:15:00,-0.0,136.0,1.0
2017-06-04 19:30:00,-0.0,93.0,1.0
2017-06-04 19:45:00,-0.0,114.0,1.0
2017-06-04 20:00:00,-0.0,104.0,1.0
2017-06-04 20:15:00,-0.0,84.0,1.0
2017-06-04 20:30:00,-0.0,115.0,1.0
2017-06-04 20:45:00,-0.0,100.0,1.0
2017-06-04 21:00:00,-0.0,98.0,1.0
2017-06-04 21:15:00,-0.0,97.0,1.0
2017-06-04 21:30:00,-0.0,82.0,1.0
2017-06-04 21:45:00,-0.0,49.0,1.0
2017-06-04 22:00:00,-0.0,75.0,1.0
2017-06-04 22:15:00,-0.0,71.0,1.0
2017-06-04 22:30:00,-0.0,44.0,1.0
2017-06-04 22:45:00,-0.0,32.0,1.0
2017-06-04 23:00:00,0.0,933.0,882.0
2017-06-04 23:15:00,0.0,967.0,921.0
2017-06-04 23:30:00,0.0,950.0,921.0
2017-06-04 23:45:00,0.0,608.0,562.0
2017-06-05 00:00:00,-0.0,27.0,1.0
2017-06-05 00:15:00,-0.0,40.0,1.0
2017-06-05 00:30:00,-0.0,51.0,1.0
2017-06-05 00:45:00,-0.0,35.0,1.0
2017-06-05 01:00:00,-0.0,27.0,1.0
2017-06-05 01:15:00,-0.0,30.0,1.0
2017-06-05 01:30:00,-0.0,63.0,1.0
2017-06-05 01:45:00,-0.0,32.0,1.0
2017-06-05 02:00:00,-0.0,27.0,1.0
2017-06-05 02:15:00,-0.0,37.0,1.0
2017-06-05 02:30:00,-0.0,47.0,1.0
2017-06-05 02:45:00,-0.0,41.0,1.0
2017-06-05 03:00:00,-0.0,26.0,1.0
2017-06-05 03:15:00,-0.0,45.0,1.0
2017-06-05 03:30:00,-0.0,28.0,1.0
2017-06-05 03:45:00,-0.0,43.0,1.0
2017-06-05 04:00:00,-0.0,33.0,1.0
2017-06-05 04:15:00,0.0,915.0,872.0
2017-06-05 04:30:00,0.0,746.0,723.0
2017-06-05 04:45:00,-0.0,34.0,1.0
2017-06-05 05:00:00,-0.0,43.0,1.0
2017-06-05 05:15:00,-0.0,47.0,1.0
2017-06-05 05:30:00,-0.0,26.0,1.0
2017-06-05 05:45:00,-0.0,25.0,1.0
2017-06-05 06:00:00,-0.0,48.0,1.0
2017-06-05 06:15:00,-0.0,270.0,1.0
2017-06-05 06:30:00,-0.0,154.0,1.0
2017-06-05 06:45:00,-0.0,108.0,1.0
2017-06-05 07:00:00,-0.0,194.0,1.0
2017-06-05 07:15:00,2.0,102.0,1.0
2017-06-05 07:30:00,10.0,106.0,1.0
2017-06-05 07:45:00,31.0,108.0,1.0
2017-06-05 08:00:00,49.0,523.0,1.0
2017-06-05 08:15:00,73.0,181.0,1.0
2017-06-05 08:30:00,64.0,281.0,1.0
2017-06-05 08:45:00,63.0,89.0,1.0
2017-06-05 09:00:00,77.0,27.0,1.0
2017-06-05 09:15:00,181.0,34.0,1.0
2017-06-05 09:30:00,261.0,54.0,1.0
2017-06-05 09:45:00,222.0,25.0,1.0
2017-06-05 10:00:00,173.0,19.0,1.0
2017-06-05 10:15:00,23.0,18.0,1.0
2017-06-05 10:30:00,27.0,51.0,1.0
2017-06-05 10:45:00,28.0,32.0,1.0
2017-06-05 11:00:00,29.0,18.0,1.0
2017-06-05 11:15:00,31.0,26.0,1.0
2017-06-05 11:30:00,24.0,34.0,1.0
2017-06-05 11:45:00,24.0,35.0,1.0
2017-06-05 12:00:00,23.0,25.0,1.0
2017-06-05 12:15:00,23.0,35.0,1.0
2017-06-05 12:30:00,24.0,22.0,1.0
2017-06-05 12:45:00,27.0,27.0,1.0
2017-06-05 13:00:00,107.0,32.0,1.0
2017-06-05 13:15:00,231.0,38.0,1.0
2017-06-05 13:30:00,244.0,18.0,1.0
2017-06-05 13:45:00,268.0,20.0,1.0
2017-06-05 14:00:00,219.0,55.0,1.0
2017-06-05 14:15:00,198.0,211.0,1.0
2017-06-05 14:30:00,197.0,26.0,1.0
2017-06-05 14:45:00,173.0,42.0,1.0
2017-06-05 15:00:00,99.0,38.0,1.0
2017-06-05 15:15:00,91.0,49.0,1.0
2017-06-05 15:30:00,83.0,204.0,1.0
2017-06-05 15:45:00,63.0,195.0,1.0
2017-06-05 16:00:00,36.0,95.0,1.0
2017-06-05 16:15:00,13.0,132.0,1.0
2017-06-05 16:30:00,4.0,118.0,1.0
2017-06-05 16:45:00,-1.0,183.0,1.0
2017-06-05 17:00:00,-0.0,97.0,1.0
2017-06-05 17:15:00,-0.0,127.0,1.0
2017-06-05 17:30:00,-0.0,310.0,1.0
2017-06-05 17:45:00,0.0,622.0,1.0
2017-06-05 18:00:00,-0.0,692.0,1.0
2017-06-05 18:15:00,-0.0,444.0,1.0
2017-06-05 18:30:00,-0.0,525.0,1.0
2017-06-05 18:45:00,-0.0,153.0,1.0
2017-06-05 19:00:00,-0.0,123.0,1.0
2017-06-05 19:15:00,-0.0,106.0,1.0
2017-06-05 19:30:00,-0.0,108.0,1.0
2017-06-05 19:45:00,-0.0,249.0,1.0
2017-06-05 20:00:00,-0.0,237.0,1.0
2017-06-05 20:15:00,-0.0,221.0,1.0
2017-06-05 20:30:00,-0.0,232.0,1.0
2017-06-05 20:45:00,-0.0,199.0,1.0
2017-06-05 21:00:00,-0.0,122.0,1.0
2017-06-05 21:15:00,-0.0,113.0,1.0
2017-06-05 21:30:00,-0.0,48.0,1.0
2017-06-05 21:45:00,-0.0,56.0,1.0
2017-06-05 22:00:00,-0.0,85.0,1.0
2017-06-05 22:15:00,-0.0,41.0,1.0
2017-06-05 22:30:00,-0.0,26.0,1.0
2017-06-05 22:45:00,-0.0,38.0,1.0
2017-06-05 23:00:00,0.0,947.0,882.0
2017-06-05 23:15:00,0.0,971.0,928.0
2017-06-05 23:30:00,0.0,961.0,929.0
2017-06-05 23:45:00,0.0,984.0,930.0
2017-06-06 00:00:00,0.0,453.0,411.0
2017-06-06 00:15:00,-0.0,50.0,1.0
2017-06-06 00:30:00,-0.0,45.0,1.0
2017-06-06 00:45:00,-0.0,48.0,1.0
2017-06-06 01:00:00,-0.0,34.0,1.0
2017-06-06 01:15:00,-0.0,50.0,1.0
2017-06-06 01:30:00,-0.0,63.0,1.0
2017-06-06 01:45:00,-0.0,35.0,1.0
2017-06-06 02:00:00,-0.0,34.0,1.0
2017-06-06 02:15:00,-0.0,44.0,1.0
2017-06-06 02:30:00,-0.0,67.0,1.0
2017-06-06 02:45:00,-0.0,36.0,1.0
2017-06-06 03:00:00,-0.0,34.0,1.0
2017-06-06 03:15:00,-0.0,42.0,1.0
2017-06-06 03:30:00,-0.0,59.0,1.0
2017-06-06 03:45:00,-0.0,43.0,1.0
2017-06-06 04:00:00,-0.0,157.0,125.0
2017-06-06 04:15:00,0.0,965.0,925.0
2017-06-06 04:30:00,0.0,570.0,523.0
2017-06-06 04:45:00,-0.0,48.0,1.0
2017-06-06 05:00:00,-0.0,211.0,1.0
2017-06-06 05:15:00,-0.0,163.0,1.0
2017-06-06 05:30:00,-0.0,131.0,1.0
2017-06-06 05:45:00,-0.0,118.0,1.0
2017-06-06 06:00:00,-0.0,113.0,1.0
2017-06-06 06:15:00,-0.0,239.0,1.0
2017-06-06 06:30:00,-0.0,137.0,1.0
2017-06-06 06:45:00,-0.0,157.0,1.0
2017-06-06 07:00:00,-0.0,134.0,1.0
